ID,AGE,GENDER,ROLE,EXP,PTYPE,RISK_ID_1,RISK_ID_2,RISK_ID_3,RISK_ASSESS_1,RISK_ASSESS_2,RISK_ASSESS_3,RISK_MIT_1,RISK_MIT_2,RISK_MIT_3,AI_READY_1,AI_READY_2,AI_READY_3,AI_READY_4,AI_READY_5,AI_READY_6
1,27,1,2,4,4,5,4,3,2,2,5,5,5,4,2,2,4,2,5,2
2,40,1,2,3,1,2,5,5,3,4,2,2,3,5,5,5,2,5,4,5
3,35,1,2,4,4,4,4,5,2,2,5,2,5,3,2,4,2,2,4,2
4,31,2,1,2,4,5,2,5,2,3,3,5,2,2,5,5,5,2,4,5
5,28,2,2,3,4,5,5,5,4,3,3,5,2,4,5,4,4,4,5,5
6,41,2,1,4,3,3,2,5,3,5,3,4,5,2,4,5,2,3,3,5
7,27,2,2,1,3,4,5,3,5,3,4,3,4,2,4,2,5,5,3,2
8,39,2,3,2,3,4,5,3,5,4,4,5,4,3,3,5,4,4,5,4
9,43,1,3,4,1,2,3,4,4,2,5,2,2,5,4,2,5,2,4,5
10,31,2,1,1,4,4,2,5,4,5,5,4,2,3,3,5,3,3,4,3
11,31,2,3,4,3,2,4,3,3,2,2,5,4,3,3,5,2,4,3,2
12,44,1,3,1,3,4,4,4,5,2,2,2,4,3,3,3,3,3,4,5
13,41,2,2,2,1,3,2,5,5,4,5,2,5,3,3,2,4,4,2,5
14,24,1,1,3,3,4,4,2,5,3,4,3,5,4,3,3,3,3,3,3
15,28,2,2,1,1,2,4,4,2,3,3,4,4,5,2,2,3,2,4,4
16,44,1,2,4,2,2,2,3,5,2,5,4,5,2,4,3,4,5,3,4
17,23,2,2,2,3,3,5,2,2,5,2,3,5,2,3,4,5,2,2,4
18,42,2,2,1,2,4,2,2,3,3,4,3,3,5,5,5,3,5,3,5
19,41,1,2,4,1,4,5,2,2,5,5,4,5,2,4,2,5,3,3,5
20,22,1,2,4,4,3,4,4,3,3,5,4,2,5,4,2,3,4,3,5
21,44,1,2,4,3,4,4,3,5,5,4,5,5,2,3,5,5,2,3,2
22,32,1,1,1,1,4,4,2,5,4,5,5,5,3,2,2,4,5,2,3
23,26,1,3,1,4,2,3,5,3,5,4,3,4,2,3,2,3,2,5,5
24,22,1,2,1,4,4,5,2,4,4,3,5,2,5,2,3,4,5,3,3
25,41,1,2,3,2,4,3,2,3,4,4,2,5,5,5,2,3,2,3,3
26,21,1,2,1,1,3,3,4,4,5,4,5,5,4,4,4,5,4,4,4
27,32,2,2,1,4,3,2,4,2,4,4,5,3,5,5,4,4,5,3,2
28,42,2,2,1,3,5,3,3,2,2,5,2,5,5,2,5,3,3,4,5
29,32,1,2,3,3,2,2,5,2,4,5,3,5,4,2,2,3,5,5,4
30,37,2,3,1,2,4,2,4,5,3,4,2,3,4,5,5,3,3,2,4
